ticker,date,coname,exec,dep_code,tenure_no,year,gvkey
NOV,2/27/2014,NATIONAL OILWELL VARCO INC,Merrill A. Miller Jr.,3,1,2014,63892
MWY,3/1/2008,MIDWAY GAMES INC,David F. Zucker,3,1,2008,63898
EDMC,8/15/2012,EDUCATION MANAGEMENT CORP,Todd S. Nelson,3,1,2012,63907
EDMC,8/28/2015,EDUCATION MANAGEMENT CORP,Edward H. West,3,1,2015,63907
HHGP,10/6/2006,MONSTER WORLDWIDE INC,Andrew J. McKelvey,4,2,2006,64156
HHGP,11/4/2014,MONSTER WORLDWIDE INC,Salvatore Iannuzzi,3,1,2014,64156
HHGP,12/1/2016,MONSTER WORLDWIDE INC,Timothy T. Yates,3,1,2016,64156
DGX,5/1/2012,QUEST DIAGNOSTICS INC,Surya N. Mohapatra,3,1,2012,64166
KMX,6/21/2006,CARMAX INC,W. Austin Ligon,3,1,2006,64410
KMX,8/31/2016,CARMAX INC,Thomas Joseph Folliard,3,1,2016,64410
RL,11/2/2015,RALPH LAUREN CORP,Ralph Lauren,3,1,2015,64891
RAH,10/15/2009,AMER ITALIAN PASTA CO -CL A,Timothy S. Webster,4,1,2009,65570
ABVT,10/3/2001,ABOVENET INC,Stephen A. Garofalo,3,1,2001,65706
APWRE,5/23/2003,ASTROPOWER INC,Allen M. Barnett,3,1,2003,66450
DDR,1/1/2014,EQUITY ONE INC,Jeffrey S. Olson,3,1,2014,110382
EBAY,1/1/2015,EBAY INC,John J. Donahoe II,3,1,2015,114524
GS,10/1/2018,GOLDMAN SACHS GROUP INC,Lloyd C. Blankfein,3,1,2018,114628
JNPR,9/1/2008,JUNIPER NETWORKS INC,Scott G. Kriens,3,1,2008,121718
JNPR,11/1/2014,JUNIPER NETWORKS INC,Shaygan Kheradpir,3,1,2014,121718
INAP,11/18/2005,INTERNAP CORP,Gregory A. Peters,3,1,2005,124358
INAP,3/16/2009,INTERNAP CORP,James P. DeBlasio,3,1,2009,124358
INAP,5/8/2015,INTERNAP CORP,James Eric Cooney,3,1,2015,124358
CHTR,2/12/2012,CHARTER COMMUNICATIONS INC,Michael J. Lovett,3,1,2012,126136
FTR,7/31/2004,FRONTIER COMMUNICATIONS CORP,Leonard Tow,3,1,2004,135484
AVYA,7/24/2006,AVAYA INC,Donald K. Peterson,3,1,2006,139662
MON,12/1/2002,MONSANTO CO,Hendrik A. Verfaillie,4,1,2002,140760
NIHD,12/13/2012,NII HOLDINGS INC,Steven P. Dussek,3,1,2012,140902
NVTL,11/1/2006,INSEEGO CORP,Peter V. Leparulo,3,1,2006,141178
NVTL,6/13/2014,INSEEGO CORP,Peter V. Leparulo,3,2,2014,141178
NVTL,6/6/2017,INSEEGO CORP,Susan G. Swenson,3,1,2017,141178
RECN,7/22/2009,RESOURCES CONNECTION INC,Thomas D. Christopoul,3,1,2009,141359
BTU,5/4/2015,PEABODY ENERGY CORP,Gregory H. Boyce,3,1,2015,142460
SYNA,10/1/2010,SYNAPTICS INC,Thomas J. Tiernan,3,1,2010,142814
SYNA,3/14/2019,SYNAPTICS INC,Richard A. Bergman,3,1,2019,142814
MDLZ,6/27/2006,MONDELEZ INTERNATIONAL INC,Roger K. Deromedi,3,1,2006,142953
MDLZ,11/19/2017,MONDELEZ INTERNATIONAL INC,Irene B. Rosenfeld,3,1,2017,142953
ZBH,7/11/2017,ZIMMER BIOMET HOLDINGS INC,David C. Dvorak,3,1,2017,144559
ANTM,8/1/2012,ANTHEM INC,Angela Rose Fick Braly,3,1,2012,145046
ANTM,11/20/2017,ANTHEM INC,Joseph R. Swedish M.H.A.,3,1,2017,145046
AAP,4/1/2007,ADVANCE AUTO PARTS INC,Michael N. Coppola,3,1,2007,145977
RRGB,8/11/2005,RED ROBIN GOURMET BURGERS,Michael J. Snyder,4,1,2005,148470
SMA,1/17/2011,SYMMETRY MEDICAL INC,Brian S. Moore,4,1,2011,160600
FTD,7/19/2018,FTD COMPANIES INC,John C. Walden,3,1,2018,162386
ANR,1/1/2009,ALPHA NATURAL RESOURCES INC,Michael J. Quillen,3,1,2009,162448
PAY,3/12/2013,VERIFONE SYSTEMS INC,Douglas G. Bergeron,3,1,2013,162733
TROX,8/1/2008,TRONOX LTD,Thomas W. Adams,3,1,2008,164363
CROX,3/1/2010,CROCS INC,John H. Duerden,4,1,2010,164755
CROX,6/1/2017,CROCS INC,Gregg S. Ribatt,3,1,2017,164755
VIAB,9/5/2006,VIACOM INC,Thomas E. Freston,3,1,2006,165675
VIAB,8/1/2016,VIACOM INC,Philippe P. Dauman,3,1,2016,165675
CMG,12/1/2016,CHIPOTLE MEXICAN GRILL INC,Montgomery F. Moran,3,1,2016,165914
CMG,11/29/2017,CHIPOTLE MEXICAN GRILL INC,M. Steven Ells,3,2,2017,165914
WIN,12/11/2014,WINDSTREAM HOLDINGS INC,Jeffery R. Gardner,3,1,2014,174490
HBI,10/1/2016,HANESBRANDS INC,Richard A. Noll,3,1,2016,175319
FSLR,10/26/2011,FIRST SOLAR INC,Robert J. Gillette,3,1,2011,175404
DHX,4/10/2018,DHI GROUP INC,Michael P. Durney,3,1,2018,177943
MDXG,2/24/2009,MIMEDX GROUP INC,Thomas W. D'Alonzo,3,1,2009,178157
